A,11DP27 bit 7,
B,11DP27 bit 6,
C,11DP27 bit 5,
D,11DP27 bit 4,
E,11DP27 bit 3,
F,11DP27 bit 2,
G,11DP27 bit 1,
H,11DP27 bit 0,
J,11DP28 bit 7,
K,11DP28 bit 6,
L,11DP28 bit 5,
M,11DP28 bit 4,
N,11DP28 bit 3,
P,11DP28 bit 2,
R,11DP28 bit 1,
S,11DP28 bit 0,
T,11DP29 bit 7,
U,11DP29 bit 6,
V,11DP29 bit 5,
W,11DP29 bit 4,
X,11DP29 bit 3,
Y,11DP29 bit 2,
Z,11DP29 bit 1,
a,11DP29 bit 0,
b,11DP30 bit 7,
c,11DP30 bit 6,
d,11DP30 bit 5,
e,11DP30 bit 4,
f,11DP30 bit 3,
g,11DP30 bit 2,
h,11DP30 bit 1,
i,11DP30 bit 0,
j,11DP31 bit 7,
k,11DP31 bit 6,
m,11DP31 bit 5,
n,11DP31 bit 4,
p,11DP31 bit 3,
q,11DP31 bit 2,
r,11DP31 bit 1,
s,GND?,"1.3mV, low impedance to ground"
t,GND?,
u,GND,
v,GND,
w,11DP31 bit 0,
x,11DP33 bit 7,
y,11DP33 bit 6,
z,11DP33 bit 5,
AA,11DP33 bit 4,
BB,11DP33 bit 3,
CC,11DP33 bit 2,
DD,11DP33 bit 1,
EE,11DP33 bit 0,
FF,GND?,
GG,GND,
HH,,
