A,10A101
B,10A103
C,10A104
D,10A106
E,10A107
F,10A109
G,10A110
H,10A112
J,10A113
K,10A115
L,10A116
M,10A118
N,10A119
P,10A121
R,10A122
S,GND
T,10A141
U,10A144
V,10A147
W,10A150
X,10A66
Y,10A36
Z,10A39
a,10A42
b,10A45
c,10A48
d,10A124
e,10A125
f,10A127
g,11A67
h,11A68
i,11A69
j,11A70
k,11A71
m,11A72
n,10A51
p,10A123
q,10A69
r,10A72
s,10A75
t,10A78
u,10A126
v,10A129
w,10A132
x,11A77
y,11A78
z,11A79
AA,11A80
BB,11A81
CC,11A82
DD,10A128
EE,10A130
FF,10A131
GG,10A81
HH,10A84
