ID,SYNCH
RN,
RN +2,
RN +4,
VN,
VN +2,
VN +4,
PIPTIME,
CDUX,CDUY
CDUZ,CDUT
ADOT,
ADOT +2,
ADOT +4,
AK,AK1
AK2,RCSFLAGS
THETADX,THETADY
THETADZ,GARBAGE
CMDAPMOD,PREL
QREL,RREL
L/D1,
UPBUFF,UPBUFF +1
UPBUFF +2,UPBUFF +3
UPBUFF +4,UPBUFF +5
UPBUFF +6,UPBUFF +7
UPBUFF +8,UPBUFF +9
UPBUFF +10D,UPBUFF +11D
UPBUFF +12D,UPBUFF +13D
UPBUFF +14D,UPBUFF +15D
UPBUFF +16D,UPBUFF +17D
UPBUFF +18D,UPBUFF +19D
COMPNUMB,UPOLDMOD
UPVERB,UPCOUNT
PAXERR1,ROLLTM
LATANG,
RDOT,
THETAH,
LAT(SPL),
LNG(SPL),
ALFA/180,BETA/180
FLAGWRD0,FLAGWRD1
FLAGWRD2,FLAGWRD3
FLAGWRD4,FLAGWRD5
FLAGWRD6,FLAGWRD7
FLAGWRD8,FLAGWRD9
DSPTAB,DSPTAB +1
DSPTAB +2,DSPTAB +3
DSPTAB +4,DSPTAB +5
DSPTAB +6,DSPTAB +7
DSPTAB +8,DSPTAB +9
DSPTAB +10D,DSPTAB +11D
TIME2,
PIPTIME1,
DELVX,
DELVY,
DELVZ,
TTE,
VIO,
VPRED,
CDUX,CDUY
CDUZ,CDUT
ADOT,
ADOT +2,
ADOT +4,
OPTION1,OPTION2
TET,
ERRORX,ERRORY
ERRORZ,THETADX
THETADY,THETADZ
CMDAPMOD,PREL
QREL,RREL
UPBUFF,UPBUFF +1
UPBUFF +2,UPBUFF +3
UPBUFF +4,UPBUFF +5
UPBUFF +6,UPBUFF +7
UPBUFF +8,UPBUFF +9
UPBUFF +10D,UPBUFF +11D
UPBUFF +12D,UPBUFF +13D
UPBUFF +14D,UPBUFF +15D
UPBUFF +16D,UPBUFF +17D
UPBUFF +18D,UPBUFF +19D
LEMMASS,CSMMASS
DAPDATR1,DAPDATR2
ROLLTM,ROLLC
OPTMODES,HOLDFLAG
WBODY,
WBODY +2,
WBODY +4,
REDOCTR,THETAD
THETAD +1,THETAD +2
IMODES30,IMODES33
DSALMOUT,CHAN12
CHAN13,CHAN14
CHAN30,CHAN31
CHAN32,CHAN33
RSBBQ,RSBBQ +1
GARBAGE,CHAN77
C31FLWRD,FAILREG
FAILREG +1,FAILREG +2
FLGWRD10,FLGWRD11
GAMMAEI,
